Date,TVL_sum
2022-10-01,1.07E+06
2022-10-02,1.07E+06
2022-10-03,1.07E+06
2022-10-04,1.07E+06
2022-10-05,1.07E+06
2022-10-06,1.07E+06
2022-10-07,1.07E+06
2022-10-08,1.07E+06
2022-10-09,1.07E+06
2022-10-10,1.07E+06
2022-10-11,1.07E+06
2022-10-12,1.07E+06
2022-10-13,1.07E+06
2022-10-14,1.07E+06
2022-07-07,99824.97335
2022-07-08,104734.7688
2022-07-09,104752.7804
2022-07-10,104811.2427
2022-07-11,104963.1631
2022-07-12,105217.2699
2022-07-13,105279.6337
2022-07-14,104959.2596
2022-07-15,104847.1406
2022-07-16,104853.8874
2022-07-17,104879.2003
2022-07-18,1.47E+06
2022-07-19,1.61E+06
2022-07-20,1.68E+06
2022-07-21,1.75E+06
2022-07-22,1.78E+06
2022-07-23,1.78E+06
2022-07-24,1.79E+06
2022-07-25,1.81E+06
2022-07-26,1.81E+06
2022-07-27,1.83E+06
2022-07-28,1.89E+06
2022-07-29,1.91E+06
2022-07-30,2.02E+06
2022-07-31,2.13E+06
2022-08-01,2.23E+06
2022-08-02,2.29E+06
2022-08-03,2.33E+06
2022-08-04,2.31E+06
2022-08-05,1.93E+06
2022-08-06,1.77E+06
2022-08-07,1.67E+06
2022-08-08,1.66E+06
2022-08-09,1.67E+06
2022-08-10,1.69E+06
2022-08-11,1.70E+06
2022-08-12,1.69E+06
2022-08-13,1.69E+06
2022-08-14,1.69E+06
2022-08-15,1.69E+06
2022-08-16,1.67E+06
2022-08-17,1.66E+06
2022-08-18,1.66E+06
2022-08-19,1.65E+06
2022-08-20,1.65E+06
2022-08-21,1.63E+06
2022-08-22,1.62E+06
2022-08-23,1.62E+06
2022-08-24,1.63E+06
2022-08-25,1.63E+06
2022-08-26,1.63E+06
2022-08-27,1.62E+06
2022-08-28,1.62E+06
2022-08-29,1.61E+06
2022-08-30,1.62E+06
2022-08-31,1.61E+06
2022-09-01,1.61E+06
2022-09-02,1.62E+06
2022-09-03,1.61E+06
2022-09-04,1.61E+06
2022-09-05,1.62E+06
2022-09-06,1.62E+06
2022-09-07,1.53E+06
2022-09-08,1.51E+06
2022-09-09,1.52E+06
2022-09-10,1.52E+06
2022-09-11,1.52E+06
2022-09-12,1.51E+06
2022-09-13,1.51E+06
2022-09-14,1.51E+06
2022-09-15,1.50E+06
2022-09-16,1.50E+06
2022-09-17,1.50E+06
2022-09-18,1.50E+06
2022-09-19,1.50E+06
2022-09-20,1.50E+06
2022-09-21,1.50E+06
2022-09-22,1.50E+06
2022-09-23,1.50E+06
2022-09-24,1.50E+06
2022-09-25,1.50E+06
2022-09-26,1.50E+06
2022-09-27,1.50E+06
2022-09-28,1.22E+06
2022-09-29,1.07E+06
2022-09-30,1.07E+06
